6,0,0,0,0,0,
3,0,0,0,0,0,

6,0,0,0,0,0,
5,0,0,0,0,0,

4,0,0,0,0,0,
1,0,0,0,0,0,

4,0,0,0,0,0,
5,0,0,0,0,0,

7,0,0,0,0,0,
5,0,0,0,0,0,

7,0,0,0,0,0,
9,0,0,0,0,0,

10,0,0,0,0,0,
measure,

0,0,0,3,0,0,
4,0,0,5,0,0,

6,0,0,0,0,0,
3,0,0,0,0,0,

6,0,0,0,0,0,
5,0,0,0,0,0,

4,0,0,0,0,0,
1,0,0,0,0,0,

4,0,0,0,0,0,
5,0,0,0,0,0,

7,0,0,0,0,0,
5,0,0,0,0,0,

7,0,0,0,0,0,
9,0,0,0,0,0,

10,0,0,0,0,0,
7,0,0,0,0,0,

6,0,0,3,0,0,
6,0,0,7,0,0,

6,0,0,5,0,0,
4,0,0,0,0,0,

1,0,0,0,0,0,
4,0,0,0,0,0,

7,0,0,0,0,0,
6,0,0,0,0,0,

3,0,0,0,0,0,
6,0,8,0,7,0,

6,0,5,0,4,0,
7,0,0,0,0,0,

3,0,0,0,0,0,
7,0,0,0,0,0,

9,0,0,0,0,0,
10,0,0,0,0,0,

measure,
0,0,0,3,0,0,

4,0,0,5,0,0,
6,0,0,0,0,0,

3,0,0,0,0,0,
6,0,0,0,0,0,

5,0,0,0,0,0,
4,0,0,0,0,0,

1,0,0,0,0,0,
4,0,0,0,0,0,

5,0,0,0,0,0,
7,0,0,0,0,0,

5,0,0,0,0,0,
7,0,0,0,0,0,

9,0,0,0,0,0,
10,0,0,0,0,0,

measure,
0,0,0,3,0,0,

4,0,0,5,0,0,
6,0,0,0,0,0,

3,0,0,0,0,0,
6,0,0,0,0,0,

5,0,0,0,0,0,
4,0,0,0,0,0,

1,0,0,0,0,0,
4,0,0,0,0,0,

5,0,0,0,0,0,
7,0,0,0,0,0,

5,0,0,0,0,0,
7,0,0,0,0,0,

9,0,0,0,0,0,
10,0,0,0,0,0,

7,0,0,0,0,0,
6,0,0,5,0,0,

6,0,0,0,0,0,
6,0,0,0,0,0,

3,0,0,0,0,0,
6,0,0,0,0,0,

5,0,0,0,0,0,
4,0,0,0,0,0,

1,0,0,0,0,0,
4,0,0,0,0,0,

5,0,0,0,0,0,
7,0,0,0,0,0,

5,0,0,0,0,0,
7,0,0,0,0,0,

9,0,0,0,0,0,
10,0,0,0,0,0,

measure,
3,0,0,0,0,0,

measure,
6,0,0,0,0,0,

3,0,0,0,0,0,
6,0,0,0,0,0,

5,0,0,0,0,0,
4,0,0,0,0,0,

1,0,0,0,0,0,
4,0,0,0,0,0,

5,0,0,0,0,0,
7,0,0,0,0,0,

5,0,0,0,0,0,
7,0,0,0,0,0,

9,0,0,0,0,0,
10,0,0,0,0,0,

measure,
3,0,0,0,0,0,

measure
